ASIGNATURA;2017 1;2017 2;2018 1;2018 2;2019 1;2019 2;2020 1;2020 2;2021 1;2021 2;2022 1;2022 2;2023 1;2023 2;2024 1;CICLOS;AREAS
ACT. CULTURAL Y DEPORTIVA I;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;Ciclo basico ingenieria;Formacion complementaria
ACT.CULTURAL Y DEPORTIVA II;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ACTIVIDAD CULTURAL;0,0%;0,4%;0,0%;0,6%;0,1%;0,2%;0,4%;1,1%;1,5%;2,1%;1,5%;0,5%;0,8%;0,7%;0,4%;Ciclo basico ingenieria;Formacion complementaria
ACTIVIDAD CULTURAL Y DEPORTIVA I;0,0%;0,0%;0,0%;0,0%;0,2%;0,1%;0,8%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,3%;;
ACTIVIDAD CULTURAL Y DEPORTIVA II;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;4,5%;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;0,6%;;
ACTIVIDAD DEPORTIVA;0,2%;0,0%;0,0%;0,4%;0,1%;0,2%;0,0%;0,5%;1,0%;2,7%;0,6%;0,3%;0,3%;0,0%;0,1%;;
ALGEBRA LINEAL;2,0%;3,2%;0,0%;8,9%;4,0%;4,5%;2,0%;2,8%;10,3%;8,6%;11,0%;5,3%;3,9%;2,9%;4,4%;Ciclo basico ingenieria;Ciencias basicas
ALGORITMOS Y FUNDAMENTOS DE PROGRAMACION;0,8%;0,2%;0,0%;2,4%;4,4%;3,6%;3,7%;2,8%;8,2%;3,1%;4,4%;3,6%;4,0%;0,8%;1,8%;Ciclo basico ingenieria;Ingenieria aplicada
ANALISIS NUMERICO;0,4%;0,2%;0,0%;0,1%;1,9%;1,7%;0,8%;0,8%;1,5%;4,5%;1,7%;0,9%;1,6%;1,8%;1,0%;Ciclo de profundizacion;Ciencias basicas de la ingenieria
ANALISIS Y DISE�O DE SISTEMAS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ARQUITECTURA DE COMPUTADORES;0,1%;0,2%;0,0%;0,7%;1,4%;0,5%;0,0%;1,9%;1,5%;0,8%;0,8%;2,6%;1,0%;0,3%;0,6%;Ciclo de profundizacion;Ingenieria aplicada
ARQUITECTURA DEL COMPUTADOR;1,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
AUDITORIA DE SISTEMAS;0,2%;0,0%;0,0%;0,0%;0,4%;0,1%;0,4%;0,0%;0,0%;0,0%;0,0%;0,4%;0,2%;0,0%;0,1%;Ciclo profesional;Ingenieria aplicada
BASE DE DATOS;0,4%;0,0%;0,0%;0,9%;1,3%;3,3%;0,4%;6,7%;2,6%;3,1%;6,9%;3,2%;3,2%;1,2%;1,4%;Ciclo de profundizacion;Ingenieria aplicada
BASES DE DATOS;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
BASES DE DATOS I;2,1%;2,2%;0,0%;1,4%;2,6%;1,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;;
BASES DE DATOS II;0,4%;1,2%;0,0%;1,3%;1,1%;0,5%;0,0%;0,0%;1,0%;0,2%;0,0%;0,0%;0,0%;0,1%;0,0%;;
BASICA EN INGENIERIA I;0,5%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
BASICA EN INGENIERIA II;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
BASICA EN INGENIERIA III;0,4%;2,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
BASICA EN INGENIERIA IV;0,4%;0,7%;0,0%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CALCULO DIFERENCIAL;7,6%;7,8%;0,0%;5,4%;6,2%;6,9%;1,6%;3,0%;7,2%;3,9%;2,9%;5,5%;8,5%;2,7%;3,3%;Ciclo basico ingenieria;Ciencias basicas
CALCULO I;0,0%;0,0%;0,0%;1,3%;2,7%;1,5%;1,2%;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;4,8%;4,2%;;
CALCULO II;0,0%;0,0%;0,0%;3,1%;0,7%;1,1%;1,2%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,8%;2,3%;;
CALCULO III;0,0%;0,0%;0,0%;1,3%;0,8%;0,1%;1,6%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;1,0%;;
CALCULO INTEGRAL;5,2%;6,4%;0,0%;4,7%;4,0%;4,4%;2,4%;3,0%;2,6%;3,5%;1,5%;4,3%;4,0%;4,9%;7,1%;Ciclo basico ingenieria;Ciencias basicas
CALCULO IV;0,0%;0,0%;0,0%;0,1%;0,4%;0,2%;0,4%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;1,3%;1,5%;;
CALCULO MULTIVARIABLE;3,0%;2,7%;0,0%;1,1%;1,6%;4,3%;1,2%;1,6%;3,1%;1,6%;4,8%;4,2%;7,4%;2,9%;2,1%;Ciclo basico ingenieria;Ciencias basicas
CALIDAD DE SOFTWARE;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CATEDRA DE LA PAZ;0,0%;0,0%;0,0%;0,7%;0,1%;0,1%;1,2%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,6%;;
CATEDRA DE NEGOCIOS INTERNACIONALES;0,0%;0,1%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,4%;0,0%;0,0%;0,2%;0,0%;0,0%;Ciclo de profundizacion;Formacion complementaria
CATEDRA UPC;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,3%;0,0%;;
CATEDRA UPECISTA;0,0%;0,0%;0,0%;0,1%;0,6%;0,2%;0,0%;0,2%;0,5%;1,0%;0,2%;1,6%;1,0%;0,1%;0,9%;Ciclo basico ingenieria;Formacion complementaria
CIBERNETICA I;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIBERNETICA II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIENCIAS BASICAS I;1,2%;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIENCIAS BASICAS II;1,1%;1,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIENCIAS BASICAS III;1,0%;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIENCIAS BASICAS IV;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIENCIAS BASICAS V;0,7%;0,1%;0,0%;0,6%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIENCIAS DE LA COMPUTACION I;0,0%;0,3%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIENCIAS DELA COMPUTACION II;0,1%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CIRCUITOS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
COMERCIO INTERNACIONAL;0,0%;0,0%;0,0%;0,7%;0,9%;0,9%;2,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,3%;;
COMPUTACION GRAFICA;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;Ciclo de profundizacion;Ingenieria aplicada
COMUNICACION ORAL Y ESCRITA I;0,1%;0,3%;0,0%;1,4%;0,7%;1,3%;3,3%;1,3%;2,6%;0,8%;0,6%;0,5%;0,2%;0,9%;0,6%;Ciclo basico ingenieria;Formacion complementaria
COMUNICACION ORAL Y ESCRITA II;0,0%;0,0%;0,0%;0,0%;0,8%;1,0%;1,2%;0,0%;2,1%;1,0%;0,2%;0,1%;0,0%;2,4%;1,9%;Ciclo basico ingenieria;Formacion complementaria
COMUNICACION ORAL Y ESCRTA II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
COMUNICACIONES;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
COMUNICACIONES Y REDES DE COMPUTACION;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
CONTABILIDAD Y COSTOS;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;;
CULTURAS INTERNACIONALES;0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
DATA SCIENCE;0,0%;0,0%;0,0%;1,1%;0,4%;0,0%;0,4%;0,0%;1,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
DERECHO CONSTITUCIONAL;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,6%;;
DERECHO INFORMATICO;0,0%;0,0%;0,0%;0,0%;0,5%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
